OBJECTID,COUNTRY,XCOORD,YCOORD
95,Chad,23.998722,15.703651
95,Chad,23.1271,15.718861
95,Chad,22.928827,15.55368
95,Chad,23.00426,15.229755
95,Chad,22.665029,14.862056
95,Chad,22.717962,14.69902
95,Chad,22.381353,14.517059
95,Chad,22.581058,14.189873
95,Chad,22.085272,13.772221
95,Chad,22.29097,13.353882
95,Chad,21.815057,12.813599
95,Chad,21.937661,12.641699
95,Chad,22.20229,12.758045
95,Chad,22.475565,12.633934
95,Chad,22.366699,12.443905
95,Chad,22.47787,12.034321
95,Chad,22.646543,12.068396
95,Chad,22.561513,11.63362
95,Chad,22.976963,11.309438
95,Chad,22.873242,10.935774
95,Chad,22.527645,11.021175
95,Chad,21.839835,10.849943
95,Chad,21.678383,10.239773
95,Chad,20.443668,9.14938
95,Chad,18.915768,8.926392
95,Chad,19.123705,8.670101
95,Chad,18.609089,8.053837
95,Chad,17.664454,7.985087
95,Chad,16.838108,7.532206
95,Chad,16.590928,7.885952
95,Chad,15.970058,7.487226
95,Chad,15.506925,7.525806
95,Chad,15.589017,7.773514
95,Chad,15.201043,8.509255
95,Chad,13.979147,9.644451
95,Chad,14.213601,10.009403
95,Chad,15.689456,9.997334
95,Chad,15.146731,10.539051
95,Chad,15.12254,11.791635
95,Chad,14.885233,12.167358
95,Chad,14.832138,12.634878
95,Chad,14.555198,12.776456
95,Chad,14.456562,13.083344
95,Chad,14.082982,13.085575
95,Chad,13.637964,13.718147
95,Chad,13.468673,14.45921
95,Chad,13.693839,14.559116
95,Chad,14.390832,15.743923
95,Chad,15.531989,16.752262
95,Chad,15.592094,18.799324
95,Chad,15.753656,19.935036
95,Chad,15.999672,20.357666
